Date,Open,High,Low,Close,Volume
2019-01-01,498.0776241124587,498.9850342368502,491.37165350447594,496.1963806152344,9746670
2019-01-02,493.31923501144814,498.85222039888913,487.3436249759111,489.73388671875,15628818
2019-01-03,490.22078553274525,493.3635092523611,482.51890963809075,483.69189453125,16288287
2019-01-04,485.7501554591943,488.8707479276948,478.53516673110533,486.3034362792969,18516544
2019-01-07,489.9994444928243,495.0676442760691,487.34360805334927,489.0035095214844,12060290
2019-01-08,489.1584706528177,491.30525940351646,485.1304679541355,488.95928955078125,12304389
2019-01-09,492.21267318377784,494.425855651597,486.32558772693704,491.65936279296875,12614237
2019-01-10,490.3314508444639,491.7700401073639,488.2289245811867,490.2207946777344,8925160
2019-01-11,490.26505606504674,493.0094176370213,481.85495103045383,486.0378723144531,14139060
2019-01-14,484.6878042138382,487.1222988045752,480.8811141575969,485.48455810546875,8994060
2019-01-15,489.1142147216286,501.0654355760193,489.1142147216286,500.0252380371094,22011407
2019-01-16,502.393296235088,506.8197201745907,500.3350619936165,502.7917175292969,13961606
2019-01-17,506.5762057920811,508.10329031075617,500.18007306524106,502.14984130859375,16379077
2019-01-18,508.5016772065438,526.6940822128304,502.50396544977406,524.2374267578125,56181172
2019-01-21,528.5089422923119,548.8481079387703,526.1408115885986,547.8521728515625,48206814
2019-01-22,545.7053520130312,551.9465366426136,539.8403687748806,546.723388671875,36207430
2019-01-23,545.9044615705386,550.7292469993979,540.9026853969897,542.8060302734375,19313542
2019-01-24,542.2306577517834,554.713026959405,540.0617379573561,552.1678466796875,28775487
2019-01-25,553.4957691968117,559.8033178284057,546.8340617705471,551.5260009765625,18703992
2019-01-28,553.5180050276912,555.9303984566689,541.0798955042951,544.2447509765625,18744303
2019-01-29,544.8865233857091,545.1742589755294,531.7623174984154,535.8788452148438,20405845
2019-01-30,537.8043656072043,542.2307307181926,527.2252808955305,529.2614135742188,17164298
2019-01-31,532.0500376390211,544.3110954962458,531.6074129717023,543.182373046875,22279301
